"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3kxkjirben9RVm9NqYa6rm","Black Out Days - Future Islands Remix","spotify:artist:1l9d7B8W0IHy3LqWsxP2SH, spotify:artist:1WvvwcQx0tj6NdDhZZ2zZz","Phantogram, Future Islands","spotify:album:0IzpAGRpjLqIQLt4FvmW7m","Black Out Days (Future Islands Remix)","spotify:artist:1l9d7B8W0IHy3LqWsxP2SH","Phantogram","2017-09-01","https://i.scdn.co/image/ab67616d0000b2735590ae4417d7af76c76edc7a","1","1","248346","","false","72","USUM71415944","","2021-09-15T19:34:34Z"
"spotify:track:4hyVrAsoKKjxAvQjPRt0ai","Love Your Voice","spotify:artist:2ISiyx4DLCMAMBCvPesCoq","JONY","spotify:album:0NcthPhd70vrFBXmZw4U7Q","Список твоих мыслей","spotify:artist:2ISiyx4DLCMAMBCvPesCoq","JONY","2019-06-21","https://i.scdn.co/image/ab67616d0000b273fd5c3010f1c824a54e262f18","1","2","150329","https://p.scdn.co/mp3-preview/bad8fe444ede6a1d22c549b0a2a6055401a55aad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","RUA582102963","","2021-09-15T04:39:17Z"
"spotify:track:3XMGDq4wLX489HfqSS0NAI","Nee Jathaga","spotify:artist:5ebXSm1iSZwIQ1sswIY7zm","Karthik\, Shreya Ghoshal","spotify:album:4pOqsafnYYQqZcmbfDZDCd","Yevadu","spotify:artist:5sSzCxHtgL82pYDvx2QyEU","Devi Sri Prasad","2013-07-01","https://i.scdn.co/image/ab67616d0000b273b5c24a2eb837cf3fc600e500","1","2","274861","https://p.scdn.co/mp3-preview/4a3a5526f1607be64697d65b8856a7141d162033?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","INA091314142","","2021-09-09T11:21:31Z"
"spotify:track:5fa6CrQwHwthEoCvTtd5Ig","Let Her Go","spotify:artist:2TL8gYTNgD6nXkyuUdDrMg","Jasmine Thompson","spotify:album:6zUsMpfw5Nif1o0kYtidiR","Bundle of Tantrums","spotify:artist:2TL8gYTNgD6nXkyuUdDrMg","Jasmine Thompson","2013-09-06","https://i.scdn.co/image/ab67616d0000b273cb71266845cc8494aacff823","1","1","172149","","false","0","GBKPL1363595","","2021-09-09T05:44:21Z"
"spotify:track:2VbhYoAVNbADZEPmbRhw5E","Sir Osthara","spotify:artist:43mIzPQYNAACChDIDUtk6O","Suchitra\, Thaman.S","spotify:album:1AdvHtbDQU2lOcSCZzB6xz","Businessman","spotify:artist:2FgHPfRprDaylrSRVf1UlN","Thaman S","2011-12-22","https://i.scdn.co/image/ab67616d0000b273ae38bb569156cab3fc510052","1","2","231416","https://p.scdn.co/mp3-preview/9545cbea0c50f76e082e6085d918f78735525b53?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","INA091113230","","2021-09-08T13:05:28Z"
"spotify:track:0rSapY9KZmRm1YfQUK6Oug","No Idea (Slowed + Reverb)","spotify:artist:6h1vSmU8EkgYqPFW7jckNG","Sam","spotify:album:1I38qINhWExb2s8Ejm1Dbg","No Idea (Slowed + Reverb)","spotify:artist:6h1vSmU8EkgYqPFW7jckNG","Sam","2021-06-01","https://i.scdn.co/image/ab67616d0000b273e8efbff63b7e531bd7b79e5b","1","1","171642","","true","0","QZJG51711438","","2021-09-07T16:40:27Z"
"spotify:track:7i9SkByhWHowrcp77JH6Bo","Check It Out","spotify:artist:3p5nfUyEYsxx8izMCym07n","Oh The Larceny","spotify:album:4hl7Lk0reDaY6BWHSvcZGc","Oh the Larceny","spotify:artist:3p5nfUyEYsxx8izMCym07n","Oh The Larceny","2017-01-27","https://i.scdn.co/image/ab67616d0000b273972a2048dcdbd8a356dce361","1","1","161500","","false","0","US43C1603405","","2021-09-06T05:26:34Z"
"spotify:track:1YLo4gUyOZxCcIic5BhCpU","Drive in Codeine Forever - Remix","spotify:artist:59FSwhr91c9ZpydzjLq6gF","skrr liam","spotify:album:6HvH0cZ2weMKu4FlH4sCu6","Drive in Codeine Forever (Remix)","spotify:artist:59FSwhr91c9ZpydzjLq6gF","skrr liam","2021-08-27","https://i.scdn.co/image/ab67616d0000b273cedcf17c8fdcf93fd30aedf1","1","1","152084","","true","0","QZNJV2176174","","2021-09-06T05:24:44Z"
"spotify:track:5V7hYWDyCFymUAIJ9cFCUY","Drive Forever","spotify:artist:525jCfzQlaTobCxF5e5VDq","Meow","spotify:album:25IQfv5aopucaIpzTY8DX4","Drive Forever","spotify:artist:525jCfzQlaTobCxF5e5VDq","Meow","2021-08-13","https://i.scdn.co/image/ab67616d0000b27385e4245a169ad6ff8c2ec187","1","1","166118","","false","0","QZS632197825","","2021-09-06T05:24:34Z"
"spotify:track:5ACZOGjT6I5He0pDZED56Z","Wannabe","spotify:artist:5C1tex8vm00yFKTitiOnMU","why mona","spotify:album:5VMaKMyX5OTgrmHwvOVJZ1","Wannabe","spotify:artist:5C1tex8vm00yFKTitiOnMU","why mona","2019-04-01","https://i.scdn.co/image/ab67616d0000b2733f35e98dbb4dcc32e7f231cf","1","1","217411","https://p.scdn.co/mp3-preview/7cb355aad0f0e951668b71a1e00f7a93fcb3dc4c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","TCADF1785646","","2021-09-04T20:54:30Z"
